Months,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Jan,99.9,112.8,122.1,134.1,143.4,151,149.3,161.8,173,179.7,190.4
Feb,99.3,117.6,122.9,135.6,145.8,153.2,149.9,160.3,175.9,181.7,193.9
Mar,103.3,119.1,125.7,135.8,146,155.2,152.5,164.3,180.5,182.3,193.8
Apr,104.5,118.7,125,140.6,148.4,154.5,144.4,165.9,181.4,185.7,197.6
May,107.2,119.4,126,141.9,149.2,151.9,149.9,167.3,183.3,188.8,200.4
Jun,107.9,118.2,127.8,140.6,149.3,154.2,149.1,168.7,183.6,187.9,202.3
Jul,109.9,120.3,128.9,141.4,151.4,152.5,152.9,169.5,182.7,190.9,204.6
Aug,111.2,120.4,130.1,142,149.7,151.7,155.8,170,182.1,189.8,205.8
Sept,112.9,121.5,130.9,141,151.4,148.4,156.2,170.2,183.4,191.7,206.8
Oct,110.5,120.6,128.7,141.8,150.6,148.4,157.3,171.7,178.1,187.4,208.5
Nov,110,119.5,129,139.2,147.1,145.1,157.7,171.5,178.1,187.1,209.7
Dec,111.1,119.8,131,143.3,149.8,148.6,161,171.4,180.3,189.1,211.1
Avg,107.3083333,118.9916667,127.3416667,139.775,148.5083333,151.225,153,167.7166667,180.2,186.8416667,202.075
